Place_Id,Rating,Number_Ratings
ChIJhz8jkGEMdkgRRK1tAA-1yOA,4.5,978
ChIJIyBNH3JzdkgRtdilh0Fe_xI,4.1,4080
ChIJR-ldBggNdkgREAGotmsEobM,3.6,51
ChIJlcba-W1zdkgRysRbaek6rp8,4.2,315
ChIJAQ6ZGlBzdkgR88N2lQidhck,4.2,133
ChIJg8sNzcUNdkgR_S-B1tKKYTU,4.5,626
ChIJraSTrJgMdkgRPzOxp3F9wLo,4.4,2127
ChIJy24lXkcMdkgR5EaQGFhx3po,4.5,2188
ChIJdbtF4dkMdkgR3JlywZP43Hg,4.2,1151
ChIJZa9lbjEMdkgRd71BEgGhKEw,4.4,436
ChIJK9F0eYoMdkgR30Vz1AA4D2Y,4.1,349
ChIJexbCOCVzdkgR0KPxg8i0u8I,4.8,187
ChIJE8vwrl4NdkgRw2tHb1qShmk,3.8,225
ChIJReUUrsAMdkgRy-_TDOsfKZE,4.8,53
ChIJ2btVjdkMdkgRVe6MdK9UUpo,2.7,15
ChIJcd-RO9gMdkgReyZaDPADGx0,4.2,497
ChIJPeDduCUNdkgRREAcTxsMsR4,2.0,1
ChIJSXqTtSUNdkgRIPQyHfxVsq4,3.3,37
ChIJLxfBwdkMdkgR2SMvOaKSdQ0,4.2,1154
ChIJM4cpDTobdkgRx8LDQJ76Yu8,3.7,4373
ChIJSXkoEyYbdkgRpmQAturmT2k,3.9,1567
ChIJDT5Fc7ccdkgRTJN0vGqwGNE,4.5,1973
ChIJVcvKc80EdkgRyV3q0YIzDvc,4.4,3508
ChIJm_mee7cEdkgRM0sbLsHGeWg,4.6,6419
ChIJpy-n8ygbdkgRblRTJU1WiXA,3.7,1572
ChIJv2nJxtIEdkgR5BVDRcOlpog,4.4,857
ChIJlRMXcDsbdkgRJdsP3nlUkBg,4.5,2638
ChIJr_4cVy8FdkgRIrNbO93eUFM,4.4,6057
ChIJ5574rdIEdkgRA9294QpXDhw,4.7,11013
ChIJ94DTm1cDdkgRibmgxzXy2EQ,4.5,2088
ChIJ-dNEa9MadkgRNYqylAShZqU,4.8,1260
ChIJ8xZFCNIEdkgRh6ulrAY-hOw,4.6,343
ChIJR_tP9tIEdkgR50LK64QCsck,4.5,1586
ChIJ70dbCqkEdkgR_2rXCHnP0aQ,4.3,3039
ChIJxePkNjcbdkgRiaZ0HLGdLAI,4.4,992
ChIJbc-9tKgEdkgR2qNGtGhKWLc,4.3,1982
ChIJX_OPq9QEdkgRwIpAEYl2RYc,4.2,3365
ChIJ3Zw-dSobdkgRZTBgHJ61V9g,4.6,1814
ChIJcwCeFbYcdkgRlPGrpXVrFBo,4.2,959
ChIJXX6W2iAFdkgREIjlbrOHCOw,4.5,1818
ChIJx_BjgDEFdkgRoN3QNXf9dAU,4.5,218
ChIJSXkoEyYbdkgRpmQAturmT2k,3.9,1567
ChIJC8OFcvMPdkgReKARKoiXKs0,4.2,365
ChIJr_4cVy8FdkgRIrNbO93eUFM,4.4,6057
ChIJARBMxLIadkgR-ahswfwrT8w,4.0,920
ChIJ98briVgFdkgR3vxkMvlFN28,4.6,92
ChIJ-dNEa9MadkgRNYqylAShZqU,4.8,1260
ChIJqbxNFbcadkgRI0eOwkhzl4U,4.3,504
ChIJOQxY9E8FdkgRe1P4OVUdwM8,4.4,1635
ChIJVcvKc80EdkgRyV3q0YIzDvc,4.4,3508
ChIJuW4AjG8FdkgRDb_vqbTS508,4.2,3101
ChIJlXAEIy8FdkgR1qaSOxyAsfc,4.5,753
ChIJv2nJxtIEdkgR5BVDRcOlpog,4.4,857
ChIJpy-n8ygbdkgRblRTJU1WiXA,3.7,1572
ChIJl-cjD9QEdkgRVkkQt3pySRI,4.5,8160
ChIJxW_IVx8FdkgRLXS07Ynr9Fs,3.8,5065
ChIJ3Zw-dSobdkgRZTBgHJ61V9g,4.6,1814
ChIJ8xZFCNIEdkgRh6ulrAY-hOw,4.6,343
ChIJX_OPq9QEdkgRwIpAEYl2RYc,4.2,3365
ChIJmfQxphELdkgRVxfijNcRlEA,3.2,32
ChIJwaMnL-oLdkgRR32ke4DYqsY,4.2,2851
ChIJX1uebBAMdkgRsXwRE25msQs,4.6,2562
ChIJScVgYecLdkgRzSPo-HVqwV4,4.2,34
ChIJZx616hIJdkgR5gQTSBM6mWo,3.9,361
ChIJj456rvILdkgRcr0W8L74hn8,3.8,92
ChIJhz8jkGEMdkgRRK1tAA-1yOA,4.5,978
ChIJAdrq478LdkgRerhcTjVIrIo,3.9,556
ChIJw-SyDxsJdkgRMzCkeW9RHGg,4.4,1316
ChIJraSTrJgMdkgRPzOxp3F9wLo,4.4,2127
ChIJb_OuX-oLdkgRmvJjGLRW-2Q,4.0,451
ChIJu9e7Y3wLdkgRqxYAXFKD0tg,4.0,236
ChIJHUdSt7ULdkgRujs7vmkfVZs,4.0,273
ChIJmboKhccLdkgR4_UzGfWMq8w,4.2,310
ChIJUdDfA-sLdkgR7RDoiKioli8,4.1,373
ChIJH4BwHMoLdkgRyKWWt7kxcdE,4.6,362
ChIJeY14SO4LdkgRQOpoT83ivcg,4.5,153
ChIJMWGXhkQLdkgR-rzhWT3866Y,4.4,771
ChIJmUcZoAELdkgRRMKnPGSxXcQ,4.8,113
ChIJ0xSX3hXYdUgRFlHiO1IVEgY,4.6,601
ChIJXX6W2iAFdkgREIjlbrOHCOw,4.5,1818
ChIJU3VpMEMDdkgRpGZTvZ-x7jI,4.2,760
ChIJm_mee7cEdkgRM0sbLsHGeWg,4.6,6419
ChIJHT2Z5sIEdkgRjrJZLxTQEeE,4.5,723
ChIJ85Nej5gFdkgRrF88JT4V55w,3.8,1048
ChIJZSfzRMQEdkgRKp5LnanZ2KM,4.1,4009
ChIJxW_IVx8FdkgRLXS07Ynr9Fs,3.8,5065
ChIJg4Yu3icEdkgRMNxJdQaYbq4,3.8,2299
ChIJE_hdXfEDdkgR09Yvt9rEzmI,4.5,466
ChIJ9xwiu2gEdkgRQdTDjYN8JJA,3.8,867
ChIJGyPR07sEdkgRN3s3cjSLW6M,4.4,6202
ChIJAftwdWgEdkgRDPYnGF3s9f4,4.1,1044
ChIJN51raG0EdkgROK3vBjuxJck,3.6,232
ChIJDwXOmSoEdkgREfR5pN08ZQQ,4.4,1037
ChIJax3jfOwEdkgR3RsIaxaC1jY,4.1,1008
ChIJbd6czrkEdkgRKdoEMZIkaew,3.8,1248
